1999-01-04:Mon Jan  4, 1999 -- Background and some initial impressions of a new player
1999-01-05:Tue Jan  5, 1999 -- Memory Cards.
1999-01-11:Mon Jan 11, 1999 -- Good weekend.
1999-01-13:Wed Jan 13, 1999 -- More success!
1999-01-18:Mon Jan 18, 1999 -- PSX game reviews
1999-01-22:Fri Jan 22, 1999 -- I got my A class license!!!
1999-01-25:Mon Jan 25, 1999 -- Spot Race Prize Money
1999-01-27:Wed Jan 27, 1999 -- Dismal Normal Car Results with a stock Cerbera
1999-01-28:Thu Jan 28, 1999 -- Finally achieved Hi-Res GT mode
1999-01-29:Fri Jan 29, 1999 -- Eunos/Miata
1999-01-31:Sun Jan 31, 1999 -- Perl script to verify car data
1999-02-01:Mon Feb  1, 1999 -- Winning a lot of the International Prize LM Cars.
1999-02-02:Tue Feb  2, 1999 -- Figures for Maxed Demio A spec
1999-02-04:Thu Feb  4, 1999 -- This is the first real diary entry.
1999-02-05:Fri Feb  5, 1999 -- Passed IA-2
1999-02-08:Mon Feb  8, 1999 -- Passed IA-3,IA-5,IA-7 and IA-4
1999-02-09:Tue Feb  9, 1999 -- Hey!  Now I can win the Sunday Cup without a lot of extra tuning!
1999-02-10:Wed Feb 10, 1999 -- Thoughts about the InterAct 4x to 24x Memory Card
1999-02-11:Thu Feb 11, 1999 -- PlayStation Cooling, Feet, and trying from Day 1 again...
1999-02-12:Fri Feb 12, 1999 -- I completed IA-6, leaving only IA-8 to go!!!
1999-02-15:Mon Feb 15, 1999 -- I finally got my IA license!!!
1999-02-16:Tue Feb 16, 1999 -- Won an orange Supra in the Normal Car series.
1999-02-17:Wed Feb 17, 1999 -- Observations while gathering License Test Criteria for a web page.
1999-02-18:Thu Feb 18, 1999 -- Corrections to former misinformation about Used Car Stock.
1999-02-19:Fri Feb 19, 1999 -- Used car cycles
1999-02-21:Sun Feb 21, 1999 -- HiFi TimeTrials do not use up a simulation day
1999-02-22:Mon Feb 22, 1999 -- Great review found at amazon.com
1999-02-23:Tue Feb 23, 1999 -- Observations of License tests and Demios.
1999-02-24:Wed Feb 24, 1999 -- Impressions of the prize Supra RZ when maxed.
1999-02-26:Fri Feb 26, 1999 -- Thoughts about the Mitsubishi GTO TwinTurbo, when tuned.
1999-03-01:Mon Mar 1, 1999 -- Young Children and Gran Turismo
1999-03-02:Tue Mar  2, 1999 -- Beginning emphasis on cataloging used car inventory.
1999-03-03:Wed Mar  3, 1999 -- Days 10 to 19 used car inventory, and rambling about winning a 3 race series.
1999-03-04:Thu Mar  4, 1999 -- Test drive of the Mazda Eunos Cosmo 13B Type S-CCS
1999-03-05:Fri Mar  5, 1999 -- The Toyota Starlet Glanza
1999-03-07:Sun Mar 7, 1999 -- Gran Turismo and 7 year-olds and Crash Bandicoot 3
1999-03-08:Mon Mar  8, 1999 -- Used Car Observations, and some PlayStation Thoughts.
1999-03-09:Tue Mar  9, 1999 -- Manipulating Temporary Ghost Replays Without Saving
1999-03-11:Thu Mar 11, 1999 -- Day 30 to 39 Inventory Observations
1999-03-12:Fri Mar 12, 1999 -- Test Driving the pick of day 30, a S13 '91 Silvia K's 2000cc
1999-03-15:Mon Mar 15, 1999 -- Passing tests and winning races by 0.000 seconds!
1999-03-17:Wed Mar 17, 1999 -- Another Level of Crash Bandicoot 3
1999-03-18:Thu Mar 18, 1999 -- Crash Bandicoot 3 Motorcycle Racing Tips
1999-03-22:Mon Mar 22, 1999 -- Definitive Discoveries about the Used Car Inventory
1999-03-23:Tue Mar 23, 1999 -- A Personal Comparison of the Prize Viper versus a Built-Up Viper
1999-03-24:Wed Mar 24, 1999 -- But I buy cars from myself in Gran Turismo all the time...
1999-03-25:Thu Mar 25, 1999 -- Wow, what a concept! (car, that is)
1999-03-26:Fri Mar 26, 1999 -- A Tale of Two Settings
1999-03-29:Mon Mar 29, 1999 -- Ordering of Brake Controller Ratios, assuming they are ratios
1999-03-30:Tue Mar 30, 1999 -- My Two Cents about Reported Weight Figures for US and UK versions
1999-03-31:Wed Mar 31, 1999 -- Compact form of braking force ratio chart
1999-04-02:Fri Apr 2, 1999 -- A Colourful Version of the Compact Braking Ratios Chart
1999-04-03:Sat Apr  3, 1999 -- Grand Valley 300K pays Cr200,000 for 2nd place  8-(
1999-04-04:Sun Apr  4, 1999 -- Second time lucky at GV300  8-)
1999-04-05:Mon Apr  5, 1999 -- Claims about Memory Card Capacity, from newsgroup rec.games.video.sony
1999-04-06:Tue Apr  6, 1999 -- Minor nitpick about tire wear in enduros
1999-04-13:Mon Apr 12, 1999 -- Better results at GV300
1999-04-14:Wed Apr 14, 1999 -- Taking an Eclipse GT to the GV300
1999-04-15:Thu Apr 15, EDT 1999 -- Silly Things with a Viper
1999-04-16:Fri Apr 16, 1999 -- I now have all my cups, even if two are not so shiny
1999-04-17:Sat Apr 17, 1999 -- I Finally Get a Complete Set of Gold Cups
1999-04-18:Sun Apr 18, 1999 -- Testing My Own Endurance?
1999-04-19:Mon Apr 19, 1999 -- Impressions of the FTO LM Edition
1999-04-20:Tue Apr 20, 1999 -- Ectoplasm Green S14 Silvia LM Results at Grand Valley 300
1999-04-21:Wed Apr 21, 1999 -- The Special NSX is not good, but the Special RX-7 seems excellent
1999-04-22:Thu Apr 22, 1999 -- RX7 LM Edition can give the Cerbera LM a run for its money
1999-04-23:Fri Apr 23, 1999 -- Turn it on, Wind it up, Blow it out, GTO!
1999-04-24:Sat Apr 24, 1999 -- NISMO GT-R LM at Grand Valley, and S14 Silvia LM at All-Night I
1999-04-25:Sun Apr 25, 1999 -- The Canonical Castrol Supra GT Wins at Grand Valley
1999-04-26:Mon Apr 26, 1999 -- Disappointing Chaser LM Determines a new Prize Value at GV300
1999-04-27:Tue Apr 27, 1999 -- Thoughts About Acquiring Particular Prize Cars in International Series
1999-04-28:Wed Apr 28, 1999 -- The Much-Maligned Prize RX-7 A spec LM Edition Wins at Grand Valley
1999-05-03:Mon May  3, 1999 -- Viper GTS-R Squeaks to a Win at Grand Valley
1999-05-05:Wed may 5, 1999 -- del Sol LM Edition Wins at Grand Valley
1999-05-06:Thu May 06, 1999 -- Race-modded Normal Series prize Supra RZ looks promising
1999-05-07:Fri May 07, 1999 -- [R]Supra RZ (race-modded Normal Series prize car) wins Grand Valley 300
1999-05-08:Sat May 08, 1999 -- [R]Viper GTS far outperforms Viper GTS-R at Grand Valley 300
1999-05-09:Sun May 09, 1999 -- [R]GTO'95 MR beats even the ConceptCar in SSR11 All-Night I
1999-05-12:Wed May 12, 1999 -- Turn it on, wind it up, blow it out, G-T-O at Grand Valley 300KM
1999-05-14:Fri May 14, 1999 -- Sort of a rest day, with discoveries of Improved Skill
1999-05-15:Sat May 15, 1999 -- [R]GTO'95 MR  Wins at Grand Valley Again!
1999-05-16:Sun May 16, 1999 -- [R]GTO'95 MR  Wins at Grand Valley A Third Time!
1999-05-17:Mon May 17, 1999 -- Tuned GTO'95 MR discovers value of third place at Grand Valley 8-(
1999-05-18:Tue May 18, 1999 -- 560bhp[R]ConceptCar Shatters its own Grand Valley 300 Record!
1999-05-28:Friday May 28, 1999 -- Tuned GTO'95 MR beats the Racing Cars at SSR11 All-Night I
1999-05-29:Saturday May 29, 1999 -- I finally used "another" game to win the yellow Concept Car!
1999-05-30:Sun May 30, 1999 -- Prize car colours (http://www.granturismo.com/scei/docs/bbgtfaq10.txt)
1999-05-31:Mon May 31, 1999 -- A Rephrasing of Suggestions for Winning all colours of prize cars
1999-06-01:Tue Jun  1, 1999 -- At least one person has found these pages!!!
1999-06-03:Thu Jun  3, 1999 -- I finally win a "real" gold medal (for B-7)
1999-06-06:Sun Jun  6, 1999 -- Winning the Tuned ("Abnormal") Car Contest a few more times?
1999-06-07:Mon Jun  7, 1999 -- More about the Abormal Series
1999-06-08:Tue Jun  8, 1999 -- Another two Abnormal Series wins leave only one race prize car to go!!!
1999-06-09:Wed Jun 9, 1999 -- Thoughts about tuning, when I was asked about NSX bouncing problems
1999-06-10:Thu Jun 10, 1999 -- I finally won at Autumn Ring ii, in the Abnormal Series
1999-06-11:Fri Jun 11, 1999 -- I Have Finally Collected ALL 62 Race-Series Prize Cars!!!
1999-06-12:Sat Jun 12, 1999 -- Trying to Express My Thoughts about Race-Series Prize-Cars
1999-06-13:Sun Jun 13, 1999 -- Various Thoughts About the Tuned Series, and High-Speed Ring ii
1999-06-14:Mon Jun 14, 1999 -- I got the Nismo 400R and  TRD3000GT on the weekend 8-)
1999-06-15:Tue Jun 15, 1999 -- Utilizing Procedures for Getting International Prize Cars
1999-06-16:Wed Jun 16, 1999 -- Utilized Procedures and Quickly Got All International Prize Cars
1999-06-17:Thu June 17, 1999 -- Psychology of Gran Turismo, a Modern Video Game
1999-06-20:Sun Jun 20, 1999 -- [R]R32SkylineGT-R'89 Respectably Wins SSR11 All-Night I
1999-06-23:Wednesday June 23, 1999 -- red Silvia LM  Wins at Grand Valley
1999-06-24:Thursday June 24, 1999 -- Race-modded Cerbera Wins at Grand Valley
1999-07-01:Thu Jul  1, 1999 -- I've been on Holiday for a While
1999-07-02:Fri Jul  2, 1999 -- Detailed Description of AI in Gran Turismo
1999-07-05:Mon Jul  5, 1999 -- Insight, maybe, into Gran Turismo severe bouncing problem
1999-07-09:Fri Jul  9, 1999 -- My GTO Settings
1999-07-10:Sunday July 10, 1999 -- A Yellow Concept Car Wins at Grand Valley
1999-07-12:Monday July 12, 1999 -- Would you believe I collected the race prize cars a second time?
1999-07-14:Wed Jul 14, 1999 -- Got the 62nd race prize car again
1999-07-19:Mon Jul 19, 1999 -- Life Beyond Gran Turismo
1999-08-06:Friday August 6, 1999 -- Demio Results, Inspired by Newsgroup Postings
1999-08-08:Sunday August 8, 1999 -- More Demio Racing
1999-08-16:Mon Aug 16, 1999 -- Acura [R]NSX-R LM GT2 Special Model Redeems Itself in the Grand Valley 300
1999-08-21:Saturday August 21, 1999 -- Race-modded '94 Impreza Wagon WRX Wins at Grand Valley
1999-08-25:Wednesday August 25, 1999 -- Impreza Rally Edition Shatters Its Old Record at the Grand Valley 300
1999-08-27:Friday August 27, 1999 -- Nismo GT-R LM (Special Edition) Improves Time at the Grand Valley 300
1999-08-29:Sunday August 29, 1999 -- Castrol Supra GT Improves Time only Slightly at the Grand Valley 300
1999-09-01:Wednesday September 1, 1999 -- GTO LM grinds to a better finish against an easy Grand Valley 300 field
1999-09-02:Thursday September 2, 1999 -- Preparing the RX7 for the Grand Valley 300
1999-09-03:Friday September 3, 1999 -- RX7 LM Edition Once Again Proves Superlative at Grand Valley 300!
1999-09-04:Saturday September 4, 1999 -- My nephew makes more progress
1999-09-05:Sunday September 5, 1999 -- Little FC RX7 GT-X Gains a Solid Win at Grand Valley
1999-09-06:Monday September 6, 1999 -- Maxed Griffith 500 beats all the Special Models at Grand Valley!
1999-09-07:Monday September 6, 1999 -- Maxed Griffith 4.0 Not Quite as Fast as the 500 at Grand Valley
1999-09-10:Friday September 10, 1999 -- Corvette Coupe Lumbers to Victory in the Grand Valley 300
1999-09-16:Thursday September 16, 1999 -- Celica GT-Four Posts Respectable Winning Time at Grand Valley 300!
1999-09-18:Saturday September 18, 1999 -- Much Reviled Chaser LM Manages to Win at Grand Valley!!
1999-09-19:Sunday September 19, 1999 -- My Eight-Year Nephew Almost Gets His B-License!
1999-09-22:Wednesday September 22, 1999 -- Eclipse GT Manages to Win at Grand Valley, Improving Its Time Greatly
1999-09-24:Friday September 24, 1999 -- I Have a Silly Loss for the First Time in Weeks!!
1999-10-01:Friday October 1, 1999 -- Race-Modified Toyota MA70 Supra Wins the Grand Valley 300!
1999-10-04:Monday October 4, 1999 -- I finally win the Grand Valley 300 with a non-racing tuned GTO'95 MR!
1999-10-07:Thursday October 7, 1999 -- Finally I Learn...
1999-10-23:Sat Oct 23, 1999 -- tuned GTO'95MR Wins SSR11 All-Night I Again, in alternate game
1999-10-24:Sunday October 24, 1999 -- Silvia LM Knocks Almost Two Minutes Off in another Grand Valley 300 Win!
1999-10-25:Mon Oct 25, 1999 -- tuned GTO'95MR Shatters Records at SSR11 All-Night II Again, in alternate game
1999-10-26:Tue Oct 26, 1999 -- Playing and logging some alternate "fast" games
1999-10-29:Friday October 29, 1999 -- tuned GTO'95MR Wins SSR11 All-Night I Again, in "gold" game
